ID,STEP,LAT,LONG,road_type,name,speed_limit,lanes_total,lanes_forward,lanes_backward,surface,oneway,lit,cycleway,sidewalk,bridge,tunnel,county,zip_left,zip_right,maxspeed_type,turn_lanes,turn_lanes_forward,turn_lanes_backward,hov_lanes
ROUTE_3,1,29.760424,-95.369841,tertiary,Bagby Street,30 mph,3,2,1,concrete,unknown,yes,unknown,both,unknown,unknown,"Harris, TX",77002,77002,sign,unknown,left|through,unknown,unknown
ROUTE_3,2,29.760823,-95.369527,secondary,Walker Street,30 mph,3,unknown,unknown,asphalt,yes,yes,unknown,both,unknown,unknown,"Harris, TX",unknown,unknown,sign,left;through|through|through;right,unknown,unknown,unknown
ROUTE_3,3,29.760886,-95.369633,secondary,Walker Street,30 mph,3,unknown,unknown,asphalt,yes,yes,unknown,both,unknown,unknown,"Harris, TX",unknown,unknown,sign,left;through|through|through;right,unknown,unknown,unknown
ROUTE_3,4,29.761052,-95.369905,secondary,Walker Street,30 mph,3,unknown,unknown,asphalt,yes,yes,unknown,both,unknown,unknown,"Harris, TX",unknown,unknown,sign,left;through|through|through;right,unknown,unknown,unknown
ROUTE_3,5,29.761172,-95.370214,secondary,Allen Parkway,30 mph,3,unknown,unknown,asphalt,yes,yes,unknown,right,unknown,unknown,"Harris, TX",unknown,unknown,sign,unknown,unknown,unknown,unknown
ROUTE_3,6,29.76121,-95.370402,secondary,Allen Parkway,30 mph,3,unknown,unknown,asphalt,yes,yes,unknown,right,unknown,unknown,"Harris, TX",unknown,unknown,sign,unknown,unknown,unknown,unknown
ROUTE_3,7,29.761237,-95.370688,secondary,Allen Parkway,30 mph,3,unknown,unknown,asphalt,yes,yes,unknown,right,unknown,unknown,"Harris, TX",unknown,unknown,sign,unknown,unknown,unknown,unknown
ROUTE_3,8,29.761285,-95.371211,secondary,Allen Parkway,30 mph,3,unknown,unknown,asphalt,yes,unknown,unknown,unknown,unknown,unknown,"Harris, TX",unknown,unknown,sign,unknown,unknown,unknown,unknown
ROUTE_3,9,29.761336,-95.37146,secondary,Allen Parkway,30 mph,3,unknown,unknown,asphalt,yes,unknown,unknown,unknown,unknown,unknown,"Harris, TX",unknown,unknown,sign,unknown,unknown,unknown,unknown
ROUTE_3,10,29.761429,-95.371672,secondary,Allen Parkway,30 mph,3,unknown,unknown,asphalt,yes,unknown,unknown,unknown,unknown,unknown,"Harris, TX",unknown,unknown,sign,unknown,unknown,unknown,unknown
ROUTE_3,11,29.761499,-95.371776,secondary,Allen Parkway,30 mph,3,unknown,unknown,asphalt,yes,unknown,unknown,unknown,unknown,unknown,"Harris, TX",unknown,unknown,sign,unknown,unknown,unknown,unknown
ROUTE_3,12,29.761597,-95.371865,secondary,Allen Parkway,30 mph,3,unknown,unknown,asphalt,yes,unknown,unknown,unknown,unknown,unknown,"Harris, TX",unknown,unknown,sign,unknown,unknown,unknown,unknown
ROUTE_3,13,29.761693,-95.371911,secondary,Allen Parkway,30 mph,3,unknown,unknown,asphalt,yes,unknown,unknown,unknown,unknown,unknown,"Harris, TX",unknown,unknown,sign,unknown,unknown,unknown,unknown
ROUTE_3,14,29.761796,-95.371933,secondary,Allen Parkway,30 mph,3,unknown,unknown,asphalt,yes,unknown,unknown,unknown,unknown,unknown,"Harris, TX",unknown,unknown,sign,unknown,unknown,unknown,unknown
ROUTE_3,15,29.761929,-95.371928,motorway,Gulf Freeway,60 mph,3,unknown,unknown,concrete:plates,yes,yes,unknown,unknown,yes,unknown,"Harris, TX",unknown,unknown,unknown,unknown,unknown,unknown,unknown
ROUTE_3,16,29.762059,-95.371882,motorway,Gulf Freeway,60 mph,3,unknown,unknown,concrete:plates,yes,yes,unknown,unknown,yes,unknown,"Harris, TX",unknown,unknown,unknown,unknown,unknown,unknown,unknown
ROUTE_3,17,29.762175,-95.371819,motorway,Gulf Freeway,60 mph,3,unknown,unknown,concrete:plates,yes,yes,unknown,unknown,yes,unknown,"Harris, TX",unknown,unknown,unknown,unknown,unknown,unknown,unknown
ROUTE_3,18,29.762289,-95.371728,motorway,Gulf Freeway,60 mph,3,unknown,unknown,concrete:plates,yes,yes,unknown,unknown,yes,unknown,"Harris, TX",unknown,unknown,unknown,unknown,unknown,unknown,unknown
ROUTE_3,19,29.762613,-95.371277,motorway,Gulf Freeway,60 mph,3,unknown,unknown,concrete:plates,yes,yes,unknown,unknown,yes,unknown,"Harris, TX",unknown,unknown,unknown,unknown,unknown,unknown,unknown
ROUTE_3,20,29.762962,-95.37075,motorway,Gulf Freeway,60 mph,3,unknown,unknown,concrete:plates,yes,yes,unknown,unknown,yes,unknown,"Harris, TX",unknown,unknown,unknown,unknown,unknown,unknown,unknown
ROUTE_3,21,29.763013,-95.370635,motorway,Gulf Freeway,60 mph,3,unknown,unknown,concrete:plates,yes,yes,unknown,unknown,yes,unknown,"Harris, TX",unknown,unknown,unknown,unknown,unknown,unknown,unknown
ROUTE_3,22,29.76305,-95.370552,motorway,Gulf Freeway,60 mph,3,unknown,unknown,concrete:plates,yes,yes,unknown,unknown,yes,unknown,"Harris, TX",unknown,unknown,unknown,unknown,unknown,unknown,unknown
ROUTE_3,23,29.763181,-95.370262,motorway,unnamed,60 mph,4,unknown,unknown,concrete:plates,yes,yes,unknown,unknown,yes,unknown,"Harris, TX",unknown,unknown,unknown,left|left;through||,unknown,unknown,unknown
ROUTE_3,24,29.763709,-95.369121,motorway,Gulf Freeway,60 mph,5,unknown,unknown,concrete:plates,yes,yes,unknown,unknown,yes,unknown,"Harris, TX",unknown,unknown,unknown,||||right,unknown,unknown,unknown
